ISOP1OH2OO3CO4OH,ICHOO
ISOP1N4O,INO
ISOP12O3OH4N,IHNE
ISOP1OH23O4N,IHNE
ISOP1N2OH34O,IHNE
ISOP1OH2OOH3OH4OO,IHPOO1
ISOP1OH2OO3OH4OOH,IHPOO1
ISOP1N2OH3OO4OH,IDHNDOO1
ISOP1N2OO3OH4OH,IDHNDOO1
ISOP1N2OH3OO4CO,ICN1OO
ISOP1CO2OO3OH4N,ICN2OO
ISOP1OH2OO3CO4N,ICN3OO
ISOP1N4CO4OO,ICN4OO
ISOP1CO1OO4N,ICN5OO
ISOP1CO2OO3OH4OH,IEPOXAOO
ISOP1N2OO,INO2B
ISOP3OO4N,INO2B
ISOP1N4OO,INO2D
ISOP1OO4N,INO2D
